koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
3.04033046,8.20075,8.99,2.42,0.079,0.866,5035.0,5274.0,0.791,0.841458,15.028,1.0
15.33528675,8.20075,5.0,2.42,0.079,0.866,5251.0,5274.0,0.817,0.841458,15.855,1.0
7.95825328,8.20075,1.06,2.42,0.079,0.866,5847.0,5274.0,1.402,0.841458,12.487,1.0
31.33046135,8.20075,6.5,2.42,0.079,0.866,5251.0,5274.0,0.817,0.841458,15.855,1.0
3.9043425,8.20075,12.28,2.42,0.079,0.866,5810.0,5274.0,0.898,0.841458,15.016,2.0
9.286358079,8.20075,17.61,2.42,0.079,0.866,5670.0,5274.0,0.821,0.841458,15.365,2.0
3.951405455,8.20075,31.44,2.42,0.079,0.866,6046.0,5274.0,0.869,0.841458,15.446,2.0
23.65369415,8.20075,7.89,2.42,0.079,0.866,5739.0,5274.0,1.384,0.841458,15.084,1.0
13.23352214,8.20075,3.06,2.42,0.079,0.866,5739.0,5274.0,1.384,0.841458,15.084,1.0
6.15560285,8.20075,2.32,2.42,0.079,0.866,5739.0,5274.0,1.384,0.841458,15.084,1.0
2.090811305,8.20075,1.62,2.42,0.079,0.866,5739.0,5274.0,1.384,0.841458,15.084,1.0
3.180027898,8.20075,1.53,2.42,0.079,0.866,5847.0,5274.0,1.402,0.841458,12.487,1.0
50.4467417,8.20075,2.67,2.42,0.079,0.866,5739.0,5274.0,1.384,0.841458,15.084,1.0
11.76307164,8.20075,2.35,2.42,0.079,0.866,4959.0,5274.0,0.756,0.841458,15.208,1.0
56.2279271,8.20075,2.37,2.42,0.079,0.866,4959.0,5274.0,0.756,0.841458,15.208,1.0
2.384052875,8.20075,17.06,2.42,0.079,0.866,4794.0,5274.0,0.701,0.841458,15.836,2.0
7.953547,8.20075,2.25,2.42,0.079,0.866,4768.0,5274.0,0.779,0.841458,15.66,1.0
4.14451656,8.20075,1.48,2.42,0.079,0.866,4768.0,5274.0,0.779,0.841458,15.66,1.0
4.859386384,8.20075,38.33,2.42,0.079,0.866,6072.0,5274.0,0.988,0.841458,15.311,2.0
10.526294577,8.20075,8.24,2.42,0.079,0.866,5386.0,5274.0,0.793,0.841458,15.305,1.0
4.583520948,8.20075,5.39,2.42,0.079,0.866,5815.0,5274.0,0.877,0.841458,15.287,1.0
3.76181843,8.20075,2.66,2.42,0.079,0.866,5653.0,5274.0,0.949,0.841458,15.257,1.0
8.20396958,8.20075,3.01,2.42,0.079,0.866,5015.0,5274.0,0.826,0.841458,15.376,1.0
14.49645186,8.20075,3.01,2.42,0.079,0.866,5015.0,5274.0,0.826,0.841458,15.376,1.0
6.54626149,8.20075,2.19,2.42,0.079,0.866,5251.0,5274.0,0.817,0.841458,15.855,1.0
12.71809866,8.20075,2.31,2.42,0.079,0.866,4702.0,5274.0,0.686,0.841458,15.389,1.0
36.06588163,8.20075,2.64,2.42,0.079,0.866,4702.0,5274.0,0.686,0.841458,15.389,1.0
4.190425659,8.20075,6.21,2.42,0.079,0.866,6073.0,5274.0,1.135,0.841458,15.27,1.0
3.709870784,8.20075,4.35,2.42,0.079,0.866,5727.0,5274.0,0.978,0.841458,15.581,1.0
16.3297527,8.20075,3.75,2.42,0.079,0.866,5878.0,5274.0,0.987,0.841458,15.447,1.0
